ADDRESS,Title
AmS_CCPL1_1.P1AnRedCluster1_EnergiaActiva,Floor 1 Cluster 1
AmS_CCPL1_1.P1AnRedCluster2_EnergiaActiva,Floor 1 Cluster 2
AmS_CCPL1_1.P1AnRedPlanta_kWh_Tot,Floor 1 total
AmS_CCPL2_1.P2AnRedCluster1_EnergiaActiva,Floor 2 Cluster 1
AmS_CCPL2_1.P2AnRedCluster2_EnergiaActiva,Floor 2 Cluster 2
AmS_CCPL2_1.P2AnRedPlanta_kWh_Tot,Floor 2 total
AmS_CCPL3_1.P3AnRedCluster1_EnergiaActiva,Floor 3 Cluster 1
AmS_CCPL3_1.P3AnRedCluster2_EnergiaActiva,Floor 3 Cluster 2
AmS_CCPL3_1.P3AnRedPlanta_kWh_Tot,Floor 3 total
AmS_CCPL4_1.P4AnRedCluster1_EnergiaActiva,Floor 4 Cluster 1
AmS_CCPL4_1.P4AnRedCluster2_EnergiaActiva,Floor 4 Cluster 2
AmS_CCPL4_1.P4AnRedPlanta_kWh_Tot,Floor 4 total
AmS_CCPL5_1.P5AnRedCluster1_EnergiaActiva,Floor 5 Cluster 1
AmS_CCPL5_1.P5AnRedCluster2_EnergiaActiva,Floor 5 Cluster 2
AmS_CCPL5_1.P5AnRedPlanta_kWh_Tot,Floor 5 total
AmS_CCPL6_1.P6AnRedCluster1_EnergiaActiva,Floor 6 Cluster 1
AmS_CCPL6_1.P6AnRedCluster2_EnergiaActiva,Floor 6 Cluster 2
AmS_CCPL6_1.P6AnRedPlanta_kWh_Tot,Floor 6 total
AmS_CCPL7_1.P7AnRedCluster1_EnergiaActiva,Floor 7 Cluster 1
AmS_CCPL7_1.P7AnRedCluster2_EnergiaActiva,Floor 7 Cluster 2
AmS_CCPL7_1.P7AnRedPlanta_kWh_Tot,Floor 7 total
AmS_CCPL8_1.P8AnRedCluster1_EnergiaActiva,Floor 8 Cluster 1
AmS_CCPL8_1.P8AnRedCluster2_EnergiaActiva,Floor 8 Cluster 2
AmS_CCPL8_1.P8AnRedPlanta_kWh_Tot,Floor 8 total
AmS_CCPL9_1.AnRedAerotermia_kWh_Tot,Floor 9 Aerotermia themral store
AmS_CCPL9_1.AnRedQTON_kWh_Tot,Floor 9 QTON themral store
AmS_CCPL9_1.AnRedUTA1_kWh_Tot,Floor 9 CL01
AmS_CCPL9_1.AnRedUTA2_kWh_Tot,Floor 9 CL02
AmS_CCPL9_1.AnRedUTA3_kWh_Tot,Floor 9 CL03
AmS_CCPL9_1.ARed_Clima_EnergActiva,Floor 9 Climatization
AmS_CCPLB_1.PBAnRedCocina_kWh_Tot,Floor B Kitchen
AmS_CCPLB_1.PBAnRedCocina2_kWh_Tot,Floor B Cookers
AmS_CCPLS_1.AnRedAsc1_kWh_Tot,Floor S Lift 1
AmS_CCPLS_1.AnRedAsc2_kWh_Tot,Floor S Lift 2
AmS_CCPLS_1.AnRedAsc3_kWh_Tot,Floor S Lift 3
AmS_CCPLS_1.AnRedAsc4_kWh_Tot,Floor S Lift 4
AmS_CCPLS_1.AnRedCafe_kWh_Tot,Floor B Cefeteria
AmS_CCPLS_1.AnRedGim_kWh_Tot,Floor 9 Gym
AmS_CCPLS_1.AnRedLav_kWh_Tot,Floor S Laundry
AmS_CCPLS_1.AnRedLobby_kWh_Tot,Floor B Lobby
AmS_CCPLS_1.ARed_Grupo_EnergActiva,Floor S generator set
AmS_CCPLS_1.ARed_Red_EnergActiva,Building energy consumption
